ID,LotArea,TotalBsmtSF,GarageCars,AGE,TotalArea,SalePrice
1,12108,1440,0,53,1440,118000
2,9400,945,0,31,980,127500
3,1680,672,0,35,1218,91500
4,8430,1040,0,31,1040,124000
5,7500,1080,0,4,1080,141000
6,11841,816,0,17,816,118500
7,9825,0,0,45,1664,100000
8,6040,0,0,53,1152,82000
9,8335,0,0,52,1124,93000
10,5000,0,0,61,334,39300
11,6240,0,0,59,912,80500
12,10800,0,0,108,1294,106250
13,5600,0,0,80,1092,55000
14,6120,264,0,73,800,60000
15,4130,270,0,73,729,52000
16,7920,319,0,88,1406,89500
17,5330,420,0,69,708,82500
18,5900,440,0,83,869,85500
19,6780,520,0,71,520,84500
20,9098,528,0,87,605,86000
21,4270,544,0,76,774,79000
22,1533,546,0,39,1344,97000
23,9600,572,0,84,1096,79000
24,8800,576,0,100,1140,96500
25,5925,600,0,99,968,37900
26,1890,630,0,36,630,81000
27,1491,630,0,38,630,75500
28,1936,630,0,37,630,84500
29,1533,630,0,36,630,92000
30,10106,644,0,68,1355,127500
31,8410,658,0,96,1184,81000
32,4388,672,0,77,840,87000
33,10020,683,0,87,904,61000
34,6882,684,0,93,1355,127000
35,5250,684,0,136,2153,122000
36,3880,686,0,62,866,110500
37,7082,686,0,90,1928,160000
38,4118,693,0,65,693,52500
39,9405,698,0,62,698,118000
40,7879,720,0,89,720,34900
41,10800,720,0,57,1192,135000
42,5350,728,0,70,1306,76500
43,4456,736,0,89,1452,113000
44,6300,742,0,94,1484,128000
45,5520,755,0,97,1858,104000
46,6342,780,0,135,1020,94000
47,5687,780,0,96,1716,135900
48,6130,784,0,84,784,109500
49,7446,788,0,65,788,100000
50,8500,793,0,88,1517,115000
51,8777,796,0,98,796,85000
52,3636,796,0,86,796,55000
53,8780,833,0,24,833,112000
54,8125,858,0,35,858,88000
55,7207,858,0,52,858,116500
56,10500,864,0,39,864,115000
57,5604,864,0,83,864,98000
58,8248,864,0,94,864,67000
59,4060,864,0,87,864,99900
60,5500,882,0,51,882,103200
61,9000,896,0,35,1792,136000
62,5586,901,0,88,1198,79900
63,9400,912,0,39,1824,139000
64,8525,940,0,97,1964,130000
65,9320,950,0,51,1225,128950
66,10712,974,0,16,974,93500
67,8070,990,0,13,990,123600
68,13907,996,0,68,996,108000
69,9000,1006,0,49,1006,80000
70,6000,1008,0,80,1008,102000
71,8470,1013,0,94,1013,85000
72,7000,1117,0,98,1347,107500
73,8402,1120,0,0,1120,147000
74,17217,1140,0,0,1140,84500
75,10800,1200,0,22,1200,179000
76,8777,1272,0,108,2200,145900
77,7711,1440,0,30,1440,150000
78,10896,1440,0,93,2880,200000
79,18030,1598,0,61,2607,200500
80,10778,1768,0,42,1768,136500
81,8000,1800,0,46,1800,141000
82,10159,1930,3,1,1940,395192
83,11394,1856,3,0,1856,394432
84,6371,1358,2,1,1358,224000
85,13518,1926,3,1,3140,485000
86,12919,2330,3,1,2364,611657
87,17423,2216,3,1,2234,501837
88,4403,1470,2,1,1478,222000
89,13891,1734,3,1,2822,582933
90,12704,2042,3,1,2042,253293
91,12220,2006,3,0,2020,402861
92,9541,1502,2,0,1502,233170
93,9187,1766,3,0,1766,370878
94,8004,832,2,0,1935,263435
95,12003,774,3,1,1968,269500
96,3951,612,2,0,1224,164500
97,3000,612,2,0,1224,173733
98,8640,1300,2,0,1314,229456
99,8640,756,2,1,1547,215200
100,13159,846,2,0,1692,224500
101,8640,900,2,0,1852,252678
102,10420,1212,2,1,1212,186000
103,7862,1218,2,0,1218,208300
104,10402,1226,3,1,1226,198900
105,13214,2002,3,2,2018,378500
106,63887,6110,2,0,5642,160000
107,8769,1702,3,0,1702,367294
108,11844,2046,3,1,2046,372500
109,12444,1932,3,0,1932,394617
110,13478,1722,3,1,2296,451950
111,9520,1638,3,1,1646,293077
112,14587,1498,2,0,1506,264132
113,12474,1682,3,1,2332,426000
114,10226,1622,3,1,1630,295493
115,14948,1452,3,0,2713,446261
116,12274,1417,2,0,1428,227680
117,12456,1700,3,3,1718,337500
118,11478,1704,3,3,1704,306000
119,15431,3094,3,1,2402,555000
120,9262,1573,3,1,1578,287090
121,11932,1580,3,1,1580,235128
122,5587,1600,2,0,1652,392500
123,5063,1314,2,2,1314,207500
124,5001,1314,2,2,1314,230000
125,11003,1017,3,1,2007,310000
126,11308,1104,3,1,2184,335000
127,10800,1034,3,1,2078,339750
128,9612,1468,3,1,1468,244600
129,10475,1694,3,2,1694,245350
130,12898,1620,3,2,1620,315500
131,9000,1566,2,2,1566,262500
132,9000,768,2,1,1590,210000
133,9100,864,1,50,864,127500
134,8640,1372,2,1,1372,250580
135,8125,813,2,1,1665,205950
136,4274,1241,2,1,1241,199900
137,11639,1428,2,1,1428,182000
138,14803,2078,3,1,2084,385000
139,40094,3138,3,0,4676,184750
140,14230,1566,3,2,1600,256300
141,10206,1563,3,1,1563,245000
142,11694,1822,3,0,1828,314813
143,13891,1710,3,1,1710,372402
144,9986,1795,3,1,1795,147000
145,7820,1869,2,0,1869,318061
146,13286,1698,3,2,1698,320000
147,10637,1705,3,2,1718,297000
148,12085,1734,3,0,1734,318000
149,14450,2121,3,1,2121,415298
150,10562,1582,3,0,2161,325624
151,10656,1638,3,1,1646,248900
152,9588,1482,3,0,2574,276000
153,12030,1694,3,0,1694,318000
154,9965,1264,3,0,2696,383970
155,9416,1726,3,0,1726,311872
156,9158,1496,2,0,1496,225000
157,3684,1373,3,2,1555,174000
158,3635,1386,3,2,1569,175900
159,6762,1208,2,0,1208,195400
160,8125,1092,2,3,1550,241000
161,15256,1485,3,0,1464,282922
162,7314,1232,2,2,1232,194500
163,10991,1571,3,0,1571,239000
164,14598,894,3,1,1933,214000
165,3922,1258,3,1,1258,172500
166,3182,1266,2,1,1266,159895
167,9735,384,2,2,1394,167500
168,8499,616,2,1,1412,156932
169,3604,689,2,1,1392,146000
170,9018,728,2,0,1456,179540
171,25339,816,2,89,1416,112000
172,10769,866,2,2,1768,212000
173,10207,874,2,0,1761,227875
174,8536,1125,2,1,1125,155000
175,9000,1184,2,0,2610,303477
176,11049,1234,2,1,1234,179900
177,8993,1302,2,0,1302,176485
178,11175,1316,2,0,1316,200141
179,8899,1340,2,0,1340,181134
180,8089,1419,2,0,1419,392000
181,8925,1466,3,2,1466,201000
182,9849,1689,3,0,1689,248328
183,11923,1800,2,2,1800,239000
184,13891,2076,3,0,2076,465000
185,13682,1410,3,0,2945,438780
186,20431,1848,3,1,2728,437154
187,11065,1085,3,0,1970,281000
188,13693,2153,3,1,2643,380000
189,14601,1838,3,3,1838,315000
190,4750,1573,2,1,1625,235000
191,12438,1234,3,0,2576,361919
192,19378,1392,2,1,2462,320000
193,10182,1660,2,0,1660,290000
194,10000,1588,3,1,1588,227000
195,14226,1935,3,1,1973,395000
196,16259,1249,3,0,2596,342643
197,14154,1063,3,1,2172,280000
198,9965,1466,3,1,2828,424870
199,10652,1494,3,1,1494,279500
200,14977,1976,3,1,1976,440000
201,11670,1905,3,1,1905,320000
202,13173,1652,2,3,1652,325000
203,11146,1709,3,3,1717,255500
204,11428,1626,3,1,1634,250000
205,13501,1623,3,1,1636,255000
206,8814,1604,2,3,1604,220000
207,6442,1370,2,1,1370,202500
208,6240,1324,2,3,1324,254000
209,14892,1746,3,3,1746,377500
210,4590,1554,2,1,1554,209500
211,15306,1732,3,1,1776,283463
212,7406,1199,2,0,1220,194000
213,3922,1258,3,1,1402,194201
214,7200,1262,2,0,1262,185000
215,11957,1574,3,2,1574,232000
216,4045,1356,3,0,1500,246578
217,9037,1476,2,1,1484,265900
218,14859,1670,3,0,1670,240000
219,6762,1187,2,4,1208,206000
220,4251,625,2,1,1250,164700
221,4017,625,2,2,1250,171900
222,17104,654,2,0,1496,179665
223,15578,728,2,0,1456,172785
224,11103,728,2,1,1456,155835
225,8125,770,2,0,1576,197000
226,23257,868,2,0,2021,274725
227,14054,879,3,0,1863,219210
228,9245,939,2,1,1797,213500
229,15611,1079,2,0,1919,233230
230,9000,1088,3,1,1959,270000
231,10728,1095,3,0,1939,266000
232,13072,1158,2,2,1158,158000
233,8556,1240,3,1,1240,194000
234,6762,1286,2,0,1294,193879
235,7200,1293,2,0,1301,187750
236,9317,1314,2,1,1314,176432
237,4230,1352,2,1,1352,208900
238,8760,1391,3,0,1962,239799
239,11216,1489,2,0,1489,232600
240,8990,1498,2,0,1498,204900
241,3982,1520,3,0,1567,264561
242,11096,1656,3,1,1656,249700
243,8849,1684,2,3,1684,266000
244,7658,1752,2,5,1752,319900
245,14215,1158,3,1,2376,325300
246,10994,1844,2,4,1844,257000
247,11924,1175,3,1,2324,345000
248,7577,1362,2,2,1362,194700
249,7313,1561,2,2,1561,277500
250,12665,1094,3,2,2482,281213
251,11198,1122,3,3,2504,325000
252,7052,1364,2,1,1364,185850
253,11210,1614,3,1,1614,221500
254,11302,1814,3,1,1826,319000
255,8688,1616,3,1,1616,232000
256,12182,1541,2,5,1541,220000
257,11443,1868,3,1,2028,369900
258,16056,1992,3,1,2868,556581
259,14157,1922,3,2,1922,377426
260,10084,1552,3,1,1552,212900
261,9587,856,2,3,1166,190000
262,10240,1030,3,1,2098,275500
263,3013,1362,2,1,1506,213490
264,5381,1306,2,4,1306,196000
265,8393,1626,2,47,1712,145000
266,6792,1368,2,1,1368,202665
267,6955,1368,2,1,1368,202500
268,3675,547,2,1,1072,140000
269,3675,547,2,3,1072,148000
270,3675,547,2,1,1072,145000
271,8814,1274,2,2,1274,203000
272,3010,1248,2,1,1248,167240
273,3182,1346,2,4,1504,181000
274,3182,1373,2,4,1555,192500
275,16158,1530,2,4,1530,260000
276,3182,1346,2,3,1504,191000
277,3182,1145,2,4,1145,160200
278,3180,600,2,1,1120,151000
279,3180,600,2,1,1120,144152
280,2544,600,2,1,1143,147400
281,8520,624,2,82,720,105900
282,12354,684,2,89,1196,110000
283,11911,684,2,4,1560,174000
284,8461,728,2,1,1456,163990
285,8199,728,2,3,1456,189000
286,8029,728,2,3,1456,176000
287,21930,732,2,1,1838,192140
288,8633,738,2,4,1476,173500
289,12589,742,2,4,1484,174000
290,8846,750,2,1,1500,173900
291,8125,756,2,1,1553,186500
292,10237,783,2,2,1484,178900
293,9803,866,2,3,1768,226700
294,10463,893,3,1,1801,239900
295,7200,900,2,59,900,134800
296,10625,1026,3,3,1958,250000
297,10574,1082,3,4,1953,252000
298,7024,1090,2,2,1090,157000
299,9675,1113,2,4,1971,253000
300,7024,1132,2,3,1132,176000
301,13072,1141,2,1,1141,142500
302,3316,1247,2,1,1247,197000
303,7500,1257,2,1,1266,176000
304,8767,1310,2,1,1310,164990
305,10237,1316,2,1,1316,169990
306,11645,1734,2,1,1734,260000
307,20896,2077,3,1,2097,423000
308,12099,1136,3,3,2468,354000
309,16033,1833,3,2,1850,326000
310,9591,1143,3,3,2473,317000
311,8450,1436,2,4,1436,210000
312,9591,1713,3,5,1713,274900
313,10386,2000,3,3,2000,305900
314,8834,1462,3,5,2224,350000
315,8487,1500,2,5,1500,190000
316,4438,848,2,4,848,149000
317,10084,1686,2,3,1694,307000
318,3842,1594,2,4,1646,275000
319,4426,848,2,6,848,143000
320,4438,848,2,4,848,144500
321,4435,848,2,2,848,155900
322,10171,1517,2,6,1535,214000
323,4426,848,2,4,848,141000
324,4426,848,2,4,848,149300
325,8198,1358,2,4,1358,207000
326,13418,1117,3,2,2452,309000
327,3363,976,2,2,1708,130000
328,8400,1473,2,6,1484,213000
329,12118,1710,2,5,1710,240000
330,8500,1422,2,3,1422,179600
331,8773,1414,2,6,1414,185500
332,16737,1980,3,2,1980,315000
333,2522,970,2,2,1709,130000
334,2522,970,2,2,1709,130000
335,2522,970,2,2,1709,137500
336,11362,1836,3,5,1836,280000
337,3072,1375,2,2,1414,178740
338,3182,1256,2,6,1269,192000
339,5105,551,2,3,1102,148800
340,3182,600,2,6,1200,151000
341,9056,707,2,2,1414,178000
342,7795,716,2,5,1432,188500
343,8320,770,2,4,1582,185900
344,15384,788,2,4,1490,184000
345,8366,798,2,4,1640,173000
346,7415,839,2,4,1593,193000
347,8244,840,2,3,1720,183500
348,12393,847,2,2,1948,195000
349,11796,847,2,3,1959,215000
350,11645,860,2,2,1720,196500
351,9313,864,2,5,1728,190000
352,10142,956,2,6,2084,233000
353,12552,991,2,6,1947,254900
354,13695,1114,2,4,1114,159000
355,13695,1114,2,5,1114,155000
356,7500,1221,2,5,1221,185000
357,4282,1391,2,4,1391,196000
358,14572,1530,3,3,1530,259000
359,11143,1580,2,3,2466,340000
360,9100,1860,2,2,1836,216837
361,10083,1176,2,6,1200,184900
362,13472,2392,3,6,2392,386250
363,9375,1053,2,5,1992,250000
364,13688,1572,3,5,2668,412500
365,53504,1650,3,7,3279,538000
366,11846,1792,3,3,1792,374000
367,7301,0,2,6,1922,198500
368,12677,1518,2,5,1518,274000
369,9590,868,2,4,1146,187500
370,11999,1181,3,4,2374,285000
371,10655,3206,3,6,1629,284000
372,10625,998,3,5,2046,284000
373,10927,1058,2,1,1904,275000
374,8158,884,2,5,1768,224900
375,12244,1482,3,5,2262,305000
376,9548,941,2,7,1829,237000
377,8450,856,2,5,1710,208500
378,10635,1657,2,7,1668,232000
379,4435,848,2,6,848,140000
380,4435,848,2,4,848,131500
381,4435,848,2,6,848,144000
382,4435,848,2,5,848,136500
383,10665,1453,2,4,1479,226000
384,3136,1405,2,3,1405,171750
385,9135,1682,2,3,1700,200000
386,2448,764,2,5,1626,154000
387,2268,764,2,6,1626,173000
388,2628,764,2,7,1626,175500
389,11317,840,2,4,1668,180000
390,6931,746,2,5,1656,165400
391,3196,1273,2,3,1456,215000
392,3196,1374,2,3,1557,234000
393,10800,482,2,103,1912,163000
394,7750,660,2,4,1320,162000
395,8064,672,2,58,924,122900
396,8730,698,1,92,1396,153575
397,6000,735,2,66,1218,131000
398,7875,783,2,3,1509,180000
399,7226,798,2,5,1640,183000
400,12394,847,2,4,1733,225000
401,8200,847,2,4,1928,219500
402,8791,864,2,5,1728,207500
403,9375,912,2,6,2094,263000
404,8546,1121,2,7,1121,140000
405,8450,1337,2,4,1337,185000
406,11426,1362,2,5,2082,200000
407,12822,1434,2,6,2149,239686
408,18386,1470,3,128,3493,295000
409,9196,1560,2,7,1560,201000
410,12378,1896,3,3,1944,360000
411,7851,860,2,8,1960,216500
412,9473,1128,2,6,2031,237000
413,14331,1800,3,4,1800,312500
414,8125,1654,3,4,1654,230000
415,9742,1777,2,6,1795,230000
416,14536,1616,3,5,1629,270000
417,11248,1626,3,5,1668,285000
418,11367,1065,2,4,1989,255000
419,9375,1284,2,5,2169,228500
420,13265,1568,3,6,1689,271000
421,14006,936,2,4,1776,192500
422,9135,1536,2,6,1536,214000
423,9808,1573,2,7,1573,227000
424,8749,1459,2,5,1459,192000
425,12803,1494,2,6,1494,221000
426,8935,831,2,7,1660,195000
427,10624,1728,1,43,1728,119000
428,11316,817,2,8,1894,214900
429,8777,0,2,60,1126,108000
430,7750,408,2,7,1419,184100
431,7861,783,2,4,1509,183200
432,5890,816,1,78,816,120500
433,13450,916,2,4,1861,200000
434,14191,967,2,8,1908,202900
435,8068,1010,2,7,2267,200000
436,11250,1128,2,6,2290,255900
437,11400,2633,3,6,2633,466500
438,11423,1581,2,9,1601,272000
439,9240,1055,2,7,2263,287000
440,9505,884,2,9,2035,222500
441,14781,1753,3,5,1787,275000
442,12435,963,2,7,1792,231500
443,11250,920,2,7,1786,223500
444,13704,1541,3,5,1541,205000
445,6853,1267,2,8,1296,220000
446,11885,1299,2,8,1872,261500
447,12209,804,2,8,1961,215000
448,8400,810,2,8,1665,227000
449,12420,944,2,8,1840,230000
450,7050,1057,2,6,1929,226000
451,9100,1212,2,8,1212,178000
452,4920,1338,2,9,1338,213500
453,16285,1413,2,8,1430,187100
454,8529,1454,2,8,1434,189000
455,4923,1593,2,7,1593,286000
456,11838,1753,2,8,1788,236500
457,2117,756,2,7,1512,168500
458,2117,756,2,7,1525,177000
459,14260,1145,3,8,2198,250000
460,10261,936,2,8,1792,186500
461,9100,1525,2,6,1525,235000
462,2117,756,2,10,1573,177500
463,11050,1440,3,9,2153,313000
464,9750,1630,2,9,1630,213000
465,8450,1349,2,7,1349,179000
466,11000,969,3,7,2285,248000
467,12224,992,2,9,2054,244000
468,11194,1406,2,6,1936,230500
469,8123,982,2,9,1800,179000
470,7750,384,2,10,1430,180000
471,9967,384,2,7,1430,170000
472,2651,673,2,6,1382,165000
473,7500,814,2,10,1674,216000
474,8520,910,2,58,1385,166000
475,8063,924,2,7,1690,181000
476,8795,952,2,9,2256,236000
477,8121,953,2,6,1664,172400
478,10852,959,2,6,1671,173000
479,8072,990,2,15,990,138000
480,10316,992,3,8,1865,235000
481,12464,1040,2,13,1040,152000
482,5330,1494,2,7,1652,251000
483,5664,1501,2,9,1659,278000
484,3230,729,2,8,1458,176000
485,3230,729,2,10,1471,172500
486,9430,1252,3,10,2365,337000
487,2645,776,2,8,1441,174000
488,2645,970,2,10,1739,172500
489,4500,1224,2,10,1224,165000
490,2280,744,2,9,1501,179400
491,11764,1152,3,11,2270,290000
492,10762,978,2,10,1983,225000
493,9066,1004,3,9,1852,230000
494,8738,975,2,7,2291,230000
495,8755,992,2,10,2060,214000
496,3735,691,2,7,1452,183900
497,2160,600,2,9,1252,160000
498,10335,1490,2,10,1501,204000
499,10264,1588,2,7,1588,214000
500,14774,1393,3,11,2599,333168
501,9179,873,2,9,1790,193000
502,9382,1468,2,9,1479,191000
503,5119,1698,2,9,1709,328900
504,7630,360,2,110,1812,140000
505,2572,696,2,11,1416,155000
506,6000,698,2,72,1176,134900
507,24682,841,2,10,1675,181000
508,9450,894,2,53,894,110000
509,7917,953,2,8,1647,175000
510,7500,994,2,11,1804,189000
511,9525,1099,1,13,1099,144000
512,14175,1188,2,50,1437,168000
513,9017,1431,2,10,1431,192000
514,12203,1225,3,11,2612,336000
515,16545,1284,3,11,2450,340000
516,12090,1141,2,8,2263,258000
517,9375,1057,2,12,2034,219500
518,12011,1086,2,8,1924,280000
519,9200,1470,3,10,2630,315000
520,4500,1237,2,8,1337,153500
521,12137,1649,2,12,1661,224900
522,4500,1204,2,11,1204,162000
523,11404,1153,2,10,2031,222500
524,4058,723,1,9,767,133000
525,8750,804,2,12,1682,200500
526,4500,1216,2,8,1216,164000
527,8973,1008,2,48,1053,150000
528,10141,832,2,11,1718,185000
529,16770,1195,2,12,1839,221000
530,9842,612,2,87,2601,189000
531,10410,672,3,91,1214,105000
532,9550,756,3,91,1717,140000
533,9531,794,2,9,1796,211000
534,10400,866,2,11,1779,197900
535,8846,870,2,10,914,148000
536,8924,880,2,10,1724,188000
537,11214,930,2,8,1886,199900
538,9084,935,2,8,1632,176500
539,9042,943,2,10,1638,192000
540,16226,1028,2,9,2452,267000
541,9750,1108,2,8,2097,274300
542,4060,1405,2,10,1337,181000
543,16196,1482,2,9,1494,215000
544,10140,1650,2,11,1680,213250
545,7399,975,2,10,1950,239000
546,9452,1396,3,9,2392,348000
547,13006,964,2,9,2236,222000
548,13125,1478,2,11,1493,208900
549,7060,1344,4,11,1344,206300
550,12886,520,2,46,1464,175000
551,12798,616,2,11,1688,200000
552,11414,728,2,99,2019,167500
553,13869,794,2,10,1470,177000
554,6204,795,1,94,1749,118500
555,11207,802,2,9,1511,185000
556,9337,824,2,10,1786,204750
557,8773,916,2,10,1600,169000
558,10839,926,2,11,1604,181000
559,15426,928,2,12,1764,231500
560,6000,960,1,87,960,108500
561,9830,1063,2,51,1287,162000
562,9920,1117,2,11,2013,269790
563,9236,1479,2,9,1494,217000
564,10208,1264,3,13,2344,265000
565,11787,1379,3,11,2398,315750
566,14720,2033,3,15,3238,410000
567,10593,1720,2,14,1720,260400
568,11883,1504,2,13,1504,203000
569,9303,872,2,11,1756,204000
570,10800,718,2,117,2554,159500
571,21872,729,2,12,1446,175000
572,10667,799,2,13,1661,212000
573,8740,840,2,27,860,137000
574,8750,880,2,13,1716,191000
575,8480,970,2,44,970,132500
576,13568,990,2,11,990,156000
577,9245,990,2,14,990,145000
578,8775,990,1,13,990,126000
579,9600,1067,2,60,1067,128000
580,14963,1260,2,12,1288,245500
581,2887,1291,2,12,1291,173000
582,14000,1306,2,14,2260,328000
583,15623,2396,3,11,4476,745000
584,35760,1930,3,11,3627,625000
585,10437,2109,3,13,2113,350000
586,12257,1318,3,12,2531,290000
587,15138,1462,3,14,2794,403000
588,10000,1220,2,12,2090,240000
589,5925,907,2,70,1131,89471
590,9950,1203,3,12,2520,290000
591,7875,1237,2,12,1253,176000
592,8530,384,2,14,1474,168500
593,13031,691,2,11,1498,187500
594,8000,773,2,13,1658,188000
595,10364,806,2,12,1572,168000
596,6120,927,2,73,1539,141500
597,10859,1097,2,15,1097,145000
598,9828,1128,2,14,2020,239500
599,11249,1200,2,12,1200,177500
600,9549,1494,2,11,1494,270000
601,5389,1595,2,15,1616,236500
602,21535,2444,3,13,4316,755000
603,14303,1986,2,14,1987,301500
604,46589,1629,3,15,2448,402000
605,10944,1223,2,14,2127,271000
606,10120,1165,3,12,2526,290000
607,12256,1463,2,16,2622,325000
608,8963,1142,2,32,2715,299800
609,8125,1408,2,14,1679,193500
610,8462,928,2,13,1721,201000
611,11040,637,1,86,1336,108000
612,8125,702,2,15,1481,174000
613,10832,712,2,14,1895,194500
614,8120,864,2,39,864,124500
615,18000,894,3,73,894,81000
616,8750,915,2,14,1908,210000
617,8880,948,2,16,2110,205000
618,29959,973,2,15,1850,248000
619,12461,1624,3,12,1624,262000
620,10542,1311,3,15,2418,341000
621,9900,1347,3,16,2646,260000
622,9938,1050,2,17,1949,236000
623,9317,740,2,16,1775,213000
624,9554,777,2,13,1911,215000
625,9291,832,2,15,1710,187000
626,7685,697,2,13,1501,165600
627,14778,1296,2,54,1640,224000
628,9765,680,2,16,1470,185000
629,11526,588,2,86,2171,191000
630,14115,796,2,16,1362,143000
631,7837,799,2,16,1571,178000
632,9636,808,2,17,1593,178000
633,9453,996,2,17,1744,194500
634,11228,1080,3,15,2097,228000
635,22950,1107,3,114,3036,475000
636,7892,1199,2,15,1199,153900
637,9991,1281,2,33,1620,150000
638,5395,1337,2,15,1337,180000
639,14541,1338,3,13,2520,310000
640,8012,1604,2,15,1617,193000
641,10846,1719,2,15,1719,324000
642,10678,1683,2,15,2872,285000
643,8872,912,2,43,912,147000
644,9125,384,2,15,1482,163900
645,9248,1158,2,17,1167,173000
646,10186,750,2,18,1923,190000
647,7153,761,2,14,1603,175900
648,10041,908,2,14,1915,220000
649,9069,936,2,18,996,147000
650,11218,1055,2,18,1845,189000
651,13346,1095,2,14,2295,268000
652,8012,1575,2,15,1575,179200
653,53107,1580,2,15,1953,240000
654,12692,3200,2,15,3228,430000
655,19296,1362,2,47,1382,176000
656,16059,1288,2,15,2417,260000
657,1680,630,1,38,1302,112000
658,7153,1278,2,17,1294,179200
659,10784,384,2,16,1472,160000
660,17120,0,2,49,1588,134432
661,12358,720,2,66,854,128500
662,6120,832,2,78,854,132000
663,13125,1104,3,16,2127,238000
664,9572,1453,2,17,2810,302000
665,13474,700,3,17,2243,225000
666,14684,2158,3,19,2196,271900
667,13758,1156,2,17,1717,187500
668,11839,1475,2,18,2329,262280
669,8049,1309,2,16,1339,180000
670,4280,440,1,94,694,90350
671,10300,576,2,89,1710,140000
672,4400,648,2,86,1118,116000
673,8400,814,1,41,913,129000
674,10357,910,2,17,1442,179900
675,11029,1184,2,50,1414,176500
676,9947,1188,2,19,1217,173000
677,11170,1216,2,16,2514,250000
678,11851,1424,2,19,1442,180500
679,12376,1673,3,20,3222,320000
680,11287,807,2,18,1982,228500
681,26178,1210,2,17,2519,335000
682,12800,1518,2,20,1644,275000
683,10200,1086,2,56,1086,144900
684,11070,1907,3,18,1959,171000
685,7200,596,2,86,1762,157000
686,7180,864,1,36,864,127000
687,10500,864,2,38,864,97000
688,6960,864,2,39,864,120500
689,12508,983,1,68,1750,160000
690,10029,1151,2,19,2060,211000
691,21695,880,2,21,1680,222000
692,10200,1461,2,20,1509,175000
693,13837,1204,3,18,2183,229000
694,14364,1157,2,19,2062,277000
695,10400,1845,2,18,1872,241500
696,10421,980,2,22,1714,196500
697,12134,559,2,22,1752,164000
698,9100,742,1,78,779,79500
699,8445,768,2,37,768,133000
700,7350,952,2,57,952,139000
701,4671,1228,2,20,1228,189000
702,13500,1237,2,115,2775,325000
703,11457,1392,2,21,1412,175000
704,7917,1143,1,31,1113,148000
705,10380,1502,2,21,2730,301000
706,1869,483,1,38,987,106000
707,13101,1728,2,43,1728,142600
708,13811,1112,2,19,1137,176000
709,8544,0,2,59,1040,92900
710,7244,768,2,37,768,129500
711,7599,845,2,25,845,129500
712,5306,1064,2,19,1767,239000
713,3696,1074,2,21,1088,170000
714,11782,1109,2,49,1155,148000
715,7064,980,2,32,980,135000
716,12416,1606,2,22,1651,184000
717,20544,791,2,22,2093,215000
718,7438,504,2,98,1252,127000
719,9672,1040,2,26,1097,152000
720,5271,1453,2,20,1453,190000
721,9206,741,2,25,1732,178000
722,11200,1298,2,21,1298,180000
723,5362,661,2,97,1250,139000
724,6240,816,2,72,816,114500
725,6600,816,2,26,816,138000
726,9600,845,2,58,893,135000
727,7200,894,2,37,894,123000
728,6600,994,1,117,2372,107500
729,6820,1488,2,25,1502,212000
730,6563,1742,2,21,1742,275000
731,12090,585,2,23,1868,178000
732,7175,744,1,26,752,125000
733,6951,876,1,24,923,119500
734,7937,1003,2,22,1003,142500
735,5062,1190,2,23,2090,207500
736,14145,1208,2,22,1621,202500
737,5814,1220,2,25,1360,187500
738,11120,1232,2,24,1232,162500
739,13005,845,2,29,2353,260000
740,10440,650,2,104,1539,157500
741,9180,840,2,24,884,144000
